ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
48224,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/favicon_js.ico,200,OK,84,469,80117
48226,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/assets/public/styles.css,200,OK,61,469,80117
48225,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/main.js,200,OK,61,469,80117
48227,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/assets/public/vendor.js,200,OK,56,469,80117
48228,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/favicon_js.ico,200,OK,118,469,80117
48230,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/assets/public/styles.css,200,OK,119,469,80117
48229,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/main.js,200,OK,115,469,80117
48231,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/assets/public/vendor.js,200,OK,119,469,80117
48232,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/favicon_js.ico,200,OK,103,469,80117
48233,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/assets/public/styles.css,200,OK,92,469,80117
48234,Wed Aug 06 12:04:23 CDT 2025,Wed Aug 06 12:04:23 CDT 2025,GET,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/assets/public/assets/public/assets/public/main.js,200,OK,98,469,80117
